X,Y,Name,small,large,circular,mini_hoop,total_rack
983968.387034282,203297.742076352,101 WOOSTER ST,1,0,0,0,1
993616.641687855,217047.247385681,1010 3 AV,0,0,1,0,1
994414.579068363,162416.390768349,1010 AV O,0,0,1,0,1
992685.914546698,173754.669272855,1010 BEVERLY RD,0,0,1,0,1
995222.492150694,187696.697163016,1010 FULTON ST,1,0,0,0,1
994747.227353185,220105.558198184,1010 LEXINGTON AV,1,0,0,0,1
1025948.06160495,203038.437804937,10102 QUEENS BL,0,0,2,0,2
994337.095627531,215236.073842689,1011 1 AV,3,0,0,0,3
988034.970764607,213302.946147263,1011 6 AV,1,0,0,0,1
988034.970764607,213302.946147263,1011 AV OF THE AMERICAS,0,1,0,0,1
1002804.78440078,192879.881678522,1011 BROADWAY,0,0,1,0,1
1013991.96215761,238403.118715852,1011 E 163 ST,0,0,1,0,1
1025948.06160495,203038.437804937,10110 QUEENS BL,0,0,1,0,1
1025948.06160495,203038.437804937,10115 QUEENS BL,1,0,0,0,1
1025948.06160495,203038.437804937,10116 QUEENS BL,0,0,1,0,1
1025192.25307719,203820.828300521,10118 QUEENS BL,0,0,1,0,1
1025948.06160495,203038.437804937,10119 QUEENS BL,1,0,2,0,3
1033667.78861952,151759.473105848,10119 ROCKAWAY BEACH BLVD,6,0,0,0,6
1013729.97153986,239444.072670683,1012 WESTCHESTER AV,1,0,0,0,1
993769.791644022,166917.38143827,1013 AV J,0,0,1,0,1
993900.319598198,166068.552099183,1013 AV K,0,0,1,0,1
1002901.06111111,192808.911348015,1013 BROADWAY,0,0,1,0,1
997328.330130607,210584.977829933,1014 47 RD,0,2,0,0,2
995287.36964561,187749.189840183,1014 FULTON ST,1,0,0,0,1
994559.483962283,221935.160510108,1014 MADISON AV,0,0,0,1,1
999796.819616199,184402.382557437,1014 PARK PL,11,0,0,0,11
994438.435319856,162467.041913763,1015 AV O,0,0,2,0,2
1019815.79696661,184975.7600196,1015 BELMONT AV,0,0,2,0,2
951966.058978692,170622.117139027,1015 CASTLETON AV,1,0,0,0,1
992967.016674772,172265.034456849,1015 CORTELYOU RD,0,0,1,0,1
994984.970316023,187934.133367941,1015 FULTON ST,2,0,0,0,2
988053.523877114,213368.16452077,1017 AV OF THE AMERICAS,1,0,0,0,1
997075.575714856,209618.998790771,1017 JACKSON AV,2,0,0,0,2
989784.951844692,181476.490443349,1018 8 AV,0,0,1,0,1
994171.443071693,164259.780782357,1018 AV M,0,0,1,0,1
1019899.1334141,184893.908149183,1018 BELMONT AV,0,0,2,0,2
1013846.42439094,239497.772038355,1018 WESTCHESTER AV,1,0,0,0,1
990251.333785936,186983.426279858,102 5 AV,1,0,0,0,1
986925.561238021,201142.506885514,102 ALLEN ST,1,0,0,0,1
998329.442957774,227347.780918434,102 E 103 ST,0,0,1,0,1
1001206.74691445,232499.860181183,102 E 125 ST,0,0,1,0,1
1012890.50668336,174874.353713274,102 FLATLANDS AV,0,0,1,0,1
987892.798476771,195085.278186351,102 JAY ST,2,0,0,0,2
1000389.90668461,185626.913572937,102 KINGSTON AV,0,0,1,0,1
988350.713899523,210672.883822098,102 MADISON AV,0,0,1,0,1
985512.002057269,192438.911431849,102 MONTAGUE ST,2,0,0,0,2
998188.871716604,203063.833423436,102 NASSAU AV,0,0,1,0,1
994098.545907781,198198.380555943,102 S 6 ST,0,0,2,0,2
1007166.93578145,188189.585284859,102 SARATOGA AV,0,0,1,0,1
987124.805918276,189972.903240517,102 SMITH ST,2,0,0,0,2
984968.310231268,207884.681393266,102 W 14 ST,0,1,0,0,1
994251.544617519,231896.662896767,1020 AMSTERDAM AV,0,0,0,1,1
997438.056945279,185574.854621932,1020 BERGEN ST,1,0,0,0,1
993103.312990114,172188.939136609,1020 CORTELYOU RD,1,0,0,0,1
1025664.24950853,198149.35736002,10202 METROPOLITAN AV,2,0,0,0,2
1021947.66475011,212387.942071766,10202 ROOSEVELT AV,1,0,0,0,1
1022093.09785819,212052.618267357,10203 41 AV,1,0,0,0,1
1021968.7201542,212389.43222627,10204 ROOSEVELT AV,3,0,0,0,3
1021329.05214219,215408.037081435,10209 NORTHERN BL,0,1,0,0,1
989830.749981448,181378.132044271,1021 8 AV,0,0,1,0,1
1022092.25566828,212415.127712935,10214 ROOSEVELT AV,1,0,0,0,1
1025947.78470261,203038.437148765,10215 QUEENS BL,1,0,0,0,1
1022112.38128419,212479.645956606,10216 ROOSEVELT AV,1,0,0,0,1
1022138.49802986,212433.780890852,10218 ROOSEVELT AV,2,0,0,0,2
985700.334029689,173109.846743599,1022 43 ST,0,0,1,0,1
1025767.9563221,241035.635432437,1022 CASTLE HILL AV,1,0,0,0,1
994657.747873366,222072.556232691,1022 MADISON AV,0,0,0,1,1
1025947.78470261,203038.437148765,10221 QUEENS BL,1,0,0,0,1
1022145.88384186,212494.63608411,10223 ROOSEVELT AV,1,0,0,0,1
994385.263182104,215326.448333859,1023 1 AV,1,0,0,0,1
993792.566532865,166886.05833818,1023 AV J,0,0,2,0,2
1014081.09714994,239292.573957935,1023 SOUTHERN BLVD,2,0,0,0,2
993567.761864364,215205.526659682,1024 2 AV,1,0,0,0,1
994271.450417608,231963.34452194,1024 AMSTERDAM AV,1,0,0,0,1
1013961.99338552,239594.826962352,1024 WESTCHESTER AV,1,0,0,0,1
1012978.33918487,236820.676998854,1025 LONGWOOD AV,1,0,0,0,1
994706.782552198,222044.159307852,1025 MADISON AV,0,0,0,2,2
996683.596511945,206668.072934106,1025 MANHATTAN AV,1,0,0,0,1
1013771.17060444,239476.184483096,1025 WESTCHESTER AV,1,0,0,0,1
994533.184474185,215369.866226017,1026 1 AV,1,0,0,0,1
1025764.30508269,241066.962141439,1026 CASTLE HILL AV,1,0,0,0,1
997130.698964193,209658.3760086,1027 JACKSON AV,1,0,0,0,1
993598.781487361,215229.220181853,1028 2 AV,0,0,1,0,1
994288.879844695,231992.862835601,1028 AMSTERDAM AV,0,1,0,0,1
1014209.56080377,239481.458750769,1028 SOUTHERN BL,1,0,0,0,1
986347.791068107,186011.110967264,103 3 ST,0,0,1,0,1
989661.290346608,187385.506840527,103 4 AV,1,0,0,0,1
988758.228504449,203698.55853194,103 AV A,1,0,0,0,1
995774.65377602,201253.300627187,103 BERRY ST,1,0,0,0,1
986547.036732614,190926.655926183,103 COURT ST,0,0,1,0,1
1001278.08896336,232619.412107438,103 E 125 ST,0,0,2,0,2
1010418.26720527,250137.949576855,103 E BURNSIDE AV,0,0,1,0,1
982668.825985104,200997.042937607,103 FRANKLIN ST,1,0,0,0,1
1000016.05572627,196220.638120353,103 GRAHAM AV,1,0,0,0,1
994407.752966523,199975.347146347,103 GRAND ST,1,0,0,0,1
996425.416582108,205334.489315182,103 GREENPOINT AV,0,1,0,0,1
987810.407237366,189692.096387431,103 HOYT ST,0,0,1,0,1
994495.714732856,200432.619197682,103 METROPOLITAN AV,1,0,1,0,2
984771.090153277,203523.631060272,103 PRINCE ST,0,1,0,0,1
987234.630501777,189956.157539099,103 SMITH ST,1,0,0,0,1
994626.780087531,231012.579035014,103 W 107 ST,0,0,2,0,2
992123.772954449,226438.87295936,103 W 88 ST,1,0,0,0,1
1004517.05197361,194925.504883856,103 WILSON AV,0,0,1,0,1
993609.300823271,215250.355638266,1030 2 AV,1,0,0,0,1
994303.259081021,232033.674433768,1030 AMSTERDAM AV,1,0,0,0,1
1017526.37766095,245688.261625856,1030 E 178 ST,1,0,0,0,1
997160.067671865,209666.77100493,1030 JACKSON AV,3,0,0,0,3
996839.323562697,206716.973754942,1030 MANHATTAN AV,1,0,0,0,1
1022330.67874786,212326.603611767,10302 ROOSEVELT AV,5,0,0,0,5
1022318.46453345,212517.859134763,10303 ROOSEVELT AV,0,1,0,0,1
1025947.78404644,203038.801649347,10305 QUEENS BL,2,0,0,0,2
1022333.70105152,212519.340102941,10305 ROOSEVELT AV,0,1,0,0,1
1025947.78404644,203038.801649347,10309 QUEENS BL,1,0,0,0,1
994445.057025775,215438.323438182,1031 1 AV,2,0,0,0,2
997450.772471026,185655.742583513,1031 BERGEN ST,1,0,0,0,1
1003356.55495077,195764.708914101,1031 FLUSHING AV,0,0,1,0,1
1022403.5263712,212517.628164098,10314 ROOSEVELT AV,2,0,0,0,2
1022404.54769461,212573.008302689,10315 ROOSEVELT AV,2,0,0,0,2
1022444.74019952,212386.169109434,10316 ROOSEVELT AV,1,0,0,0,1
1022433.70610085,212531.156024188,10317 ROOSEVELT AV,1,0,0,0,1
1022361.50381744,212811.578691691,10318 39 AV,2,0,0,0,2
994433.439594939,215394.962960601,1032 1 AV,1,0,0,0,1
993617.051792026,215266.389070764,1032 2 AV,3,0,0,0,3
1014184.2554082,239578.341102943,1032 SOUTHERN BLVD,1,0,0,0,1
1022503.16265486,212411.76420261,10326 ROOSEVELT AV,1,0,0,0,1
1025749.76508552,241154.0138046,1033 CASTLE HILL AV,1,0,0,0,1
997178.873080447,209737.461480349,1033 JACKSON AV,1,0,0,0,1
1014183.97555311,239580.890966609,1034 SOUTHERN BLVD,2,0,0,0,2
1032857.57731344,189501.827411026,10342 LEFFERTS BL,0,0,1,0,1
1033036.6425721,189548.820427269,10345 LEFFERTS BL,0,0,1,0,1
1032925.87409286,189465.895396277,10348 LEFFERTS BL,0,0,1,0,1
1014119.39628594,239431.797760859,1035 SOUTHERN BLVD,1,0,0,0,1
993538.347553104,215330.48146227,1037 2 AV,1,0,0,0,1
1025646.7931786,241166.95373936,1037 CASTLE HILL AV,1,0,0,0,1
994472.748243362,215468.210517526,1038 1 AV,2,0,0,0,2
1020076.76691711,185011.118872777,1039 BELMONT AV,0,0,2,0,2
1014172.89060153,239592.535956442,1039 SOUTHERN BLVD,1,0,0,0,1
1033003.72728361,189366.953993097,10398 LEFFERTS BL,0,0,1,0,1
986936.934246778,206081.743070021,104 4 AV,2,0,0,0,2
981954.503922939,204287.371986851,104 CHARLTON ST,1,0,0,0,1
996579.491733268,208108.222284764,104 COMMERCIAL ST,0,0,2,0,2
990289.530231863,171674.011688769,104 CORTELYOU RD,0,0,1,0,1
994290.576035529,197086.1590271,104 DIVISION AV,1,0,0,0,1
987225.090822697,206700.4114521,104 E 14 ST,3,0,0,0,3
1010362.19513895,250057.734514192,104 E BURNSIDE AV,0,0,2,0,2
987364.586606696,195155.52049993,104 FRONT ST,1,0,0,0,1
987903.622602105,195016.421368688,104 JAY ST,2,0,2,0,4
1000512.68301386,235822.489690766,104 LENOX AV,2,0,0,0,2
997926.054985031,203643.33456102,104 NORMAN AV,0,0,1,0,1
983456.224016607,188232.71052669,104 PRESIDENT ST,1,0,0,0,1
1007182.78253452,188149.524013266,104 SARATOGA AV,0,0,1,0,1
983689.553274363,203630.016674265,104 THOMPSON ST,1,0,0,0,1
983303.971368358,188563.890966684,104 UNION ST,1,0,0,0,1
984940.319801688,207899.618043184,104 W 14 ST,3,0,0,0,3
988167.605998024,213788.257840693,104 W 40 ST,0,0,1,0,1
992149.034714937,226246.512779772,104 W 88 ST,1,0,0,0,1
961473.242720187,165216.400588274,104 WARREN ST,1,0,0,0,1
993755.858929113,217364.635530442,1040 3 AV,1,0,0,0,1
997998.741191357,212333.049465016,1040 44 DR,1,0,0,0,1
997275.039554775,209717.110471189,1040 JACKSON AV,2,0,0,0,2
994718.066650361,222210.300379768,1040 MADISON AV,0,0,0,2,2
1032730.28393286,151918.254940525,10402 ROCKAWAY BEACH BLVD,8,0,0,0,8
1022662.68530169,212457.557746187,10402 ROOSEVELT AV,2,0,0,0,2
1025681.59724286,241205.633123934,1041 CASTLE HILL AV,1,0,0,0,1
1018989.44264819,182464.33918944,1041 HEGEMAN AV,0,0,1,0,1
993538.042107522,215405.169633105,1043 2 AV,0,0,3,0,3
1000592.89938886,213710.376434773,1043 41 AV,0,1,0,0,1
1020150.90489219,186461.986705944,1043 LIBERTY AV,0,0,2,0,2
1002632.86578135,182975.46611993,1044 EASTERN PKWY,1,0,0,0,1
993883.318319857,217285.62551786,1045 3 AV,1,0,0,0,1
1014317.3929372,239567.211203933,1046 SOUTHERN BLVD,1,0,0,0,1
1025760.55049703,241320.169968352,1048 CASTLE HILL AV,1,0,0,0,1
1014287.79949245,239774.117942348,1048 WESTCHESTER AV,1,0,0,0,1
994546.928541198,215624.540585443,1049 1 AV,2,0,0,0,2
993622.778486609,215502.843322277,1049 2 AV,1,0,0,0,1
995371.095856115,187826.101431772,1049 FULTON ST,2,0,0,0,2
1014010.27478503,239719.124942109,1049 WESTCHESTER AV,1,0,0,0,1
988050.823423192,204068.962318689,105 1 AV,1,0,0,0,1
986361.660462946,186002.368202597,105 3 ST,0,0,1,0,1
990239.733743519,186783.771167353,105 5 AV,8,2,0,0,10
990993.330989614,184814.772152603,105 7 AV,0,0,0,2,2
991059.758022115,166517.169640273,105 AV J,0,0,1,0,1
994046.442337438,198156.461348429,105 BROADWAY,0,0,1,0,1
1003947.03539711,194511.521459848,105 CENTRAL AV,0,0,3,0,3
992348.653410196,192306.519636273,105 CLERMONT AV,1,0,0,0,1
986540.102035195,190944.14309594,105 COURT ST,0,0,1,0,1
1011480.48916219,251941.502728269,105 E 183 ST,0,0,2,0,2
1010468.36782686,250112.13565211,105 E BURNSIDE AV,0,0,1,0,1
987598.869274601,201269.013194188,105 ESSEX ST,1,0,0,0,1
1010706.50383353,254215.577576444,105 FATHER ZEISER PL,2,0,0,0,2
1000012.71255711,196245.774553016,105 GRAHAM AV,1,0,0,0,1
1000494.17091177,185672.524046019,105 KINGSTON AV,1,0,0,0,1
998067.719071776,231323.251642019,105 LENOX AV,1,0,0,0,1
1000478.53085119,195795.40504694,105 MOORE ST,1,0,0,0,1
995315.727200449,200991.133500606,105 N 6 ST,1,0,0,0,1
994423.386793524,199051.411658272,105 S 3 ST,0,0,2,0,2
994295.091118366,230365.016353771,105 W 105 ST,0,0,1,0,1
1003907.90817878,195919.989443436,1050 FLUSHING AV,0,0,1,0,1
1000368.31912936,184300.01432386,1050 KINGSTON AV,5,0,0,0,5
1012523.09796935,176539.994410858,10501 FARRAGUT RD,0,0,2,0,2
993962.744998276,217479.846914187,1051 3 AV,1,0,0,0,1
997272.740674853,209869.764037266,1051 JACKSON AV,0,2,0,0,2
997302.438450113,209781.247482017,1053 JACKSON AV,0,1,0,0,1
1032296.19949919,151745.432123438,10538 ROCKAWAY BEACH BLVD,2,0,0,0,2
994930.960581526,222414.784550861,1055 MADISON AV,0,0,0,1,1
993886.810438856,217560.33395794,1056 3 AV,1,0,0,0,1
994525.273400769,215733.466876775,1057 1 AV,1,0,0,0,1
993669.838103771,215597.952384025,1057 2 AV,1,0,0,0,1
1003627.60001236,195914.663338602,1057 FLUSHING AV,0,0,1,0,1
995500.360689446,187788.634971276,1057 FULTON ST,2,0,0,0,2
994536.900017947,215754.967489943,1059 1 AV,0,0,1,0,1
990925.620495111,184915.308040768,106 7 AV,0,0,0,2,2
983919.285098359,200272.704819351,106 CENTRE ST,1,0,0,0,1
986188.198211446,201187.978251263,106 CHRYSTIE ST,0,1,0,0,1
986502.387215614,190937.21725677,106 COURT ST,0,1,2,0,3
987540.332318187,207755.191822857,106 E 18 ST,1,0,0,0,1
1011476.95078345,251890.127174854,106 E 183 ST,0,0,1,0,1
1010405.07234977,250060.331293777,106 E BURNSIDE AV,0,0,1,0,1
984937.158390686,202106.752660438,106 KENMARE ST,2,0,0,0,2
996009.866560191,234104.959661275,106 MORNINGSIDE DR,1,0,0,0,1
984273.283406109,202845.970014021,106 SPRING ST,1,0,0,0,1
1003711.69826935,196151.180910185,106 THAMES ST,0,0,3,0,3
983325.049738273,188556.968080267,106 UNION ST,2,0,0,0,2
998224.175779864,231748.884977102,106 W 117 ST,2,0,0,0,2
1000625.64210552,236200.017807096,106 W 136 ST,1,0,0,0,1
985739.186314195,209315.446904436,106 W 20 ST,1,0,0,0,1
1020326.99935627,184991.815433681,1060 BELMONT AV,0,0,4,0,4
951510.861070186,170406.315733358,1060 CASTLETON AV,1,0,0,0,1
1057668.27670769,220358.642993852,10604 NORTHERN BL,1,0,0,0,1
1026402.2857621,202603.845826358,10606 QUEENS BL,1,0,0,0,1
996805.955519184,189773.41085735,1061 BEDFORD AV,0,0,1,0,1
1027154.12448153,201444.767435849,10611 71 AV,1,1,0,0,2
1022407.76356745,215285.471709773,10614 NORTHERN BL,1,0,0,0,1
1027158.54245169,201454.612232432,10619 71 AV,1,0,1,0,2
996734.95205228,186008.03452985,1062 DEAN ST,0,0,1,0,1
1027171.01191494,201457.184733853,10624 71 AV,0,1,0,0,1
995563.042978778,187788.664170682,1063 FULTON ST,1,0,0,0,1
994647.979192108,215783.068483606,1064 1 AV,1,0,0,0,1
997375.296572104,209818.448523104,1064 JACKSON AV,0,2,0,0,2
994874.434447855,222474.510153189,1064 MADISON AV,0,0,0,1,1
951495.122584611,170467.17945677,1065 CASTLETON AV,1,0,0,0,1
1014061.84456378,239869.295245439,1065 SOUTHERN BL,1,0,0,0,1
994006.994253606,217662.030933022,1066 3 AV,2,0,0,0,2
994617.456615359,215897.091549516,1067 1 AV,1,0,0,0,1
942747.688307852,166206.979643852,1067 RICHMOND AV,1,0,0,0,1
997401.612136275,209835.950784683,1068 JACKSON AV,0,1,0,0,1
996865.247395352,186145.089373857,1069 DEAN ST,0,0,1,0,1
987432.415867358,204396.406873778,107 2 AV,0,9,0,0,9
986375.530185863,185993.62543793,107 3 ST,0,0,1,0,1
990294.657518193,186763.018256098,107 5 AV,1,0,0,0,1
